Date,Vty
07/09/2015,0.12793616808123200
08/09/2015,0.12795327264486600
09/09/2015,0.12821680979725500
10/09/2015,0.12304645545483400
11/09/2015,0.12141809736005100
12/09/2015,0.10548987466212600
13/09/2015,0.11425493831033200
14/09/2015,0.11565148203026800
15/09/2015,0.11304179648766400
16/09/2015,0.1093503674868420
17/09/2015,0.10527550438181500
18/09/2015,0.10186396254751100
19/09/2015,0.0937947568836764
20/09/2015,0.09461696526621600
21/09/2015,0.0946262433717582
22/09/2015,0.09805195554569050
23/09/2015,0.10030892501156100
24/09/2015,0.10233555999837200
25/09/2015,0.10514734147151800
26/09/2015,0.10809988850953800
27/09/2015,0.1055776015290590
28/09/2015,0.10733453832760400
29/09/2015,0.10767334567271000
30/09/2015,0.10837096091452200
01/10/2015,0.10840155084297100
02/10/2015,0.10860048968793000
03/10/2015,0.1086757945667510
04/10/2015,0.10979935894410900
05/10/2015,0.10740207145268100
06/10/2015,0.10881207014847700
07/10/2015,0.10923335882936700
08/10/2015,0.1101778423327240
09/10/2015,0.11020210915377300
10/10/2015,0.11027191427445700
11/10/2015,0.10212175963861800
12/10/2015,0.09368949528646300
13/10/2015,0.08242099354784490
14/10/2015,0.08883289551960740
15/10/2015,0.09407095576579100
16/10/2015,0.09445235437353390
17/10/2015,0.09404134594221490
18/10/2015,0.0940838430836244
19/10/2015,0.09354870413512760
20/10/2015,0.09422273377814310
21/10/2015,0.09417464373787540
22/10/2015,0.10484559491080500
23/10/2015,0.10215327662381600
24/10/2015,0.09990374987504760
25/10/2015,0.09855864349496490
26/10/2015,0.09829504770303020
27/10/2015,0.10159973260032900
28/10/2015,0.10192509562007900
29/10/2015,0.104302294984506
30/10/2015,0.10491772465858500
31/10/2015,0.11278836839334300
01/11/2015,0.11417170001009300
02/11/2015,0.11419294548195900
03/11/2015,0.1121338038156310
04/11/2015,0.12389824560627300
05/11/2015,0.12436308460763800
06/11/2015,0.12396577557457800
07/11/2015,0.12431983469489700
08/11/2015,0.12515684861564200
09/11/2015,0.12516572621505000
10/11/2015,0.1262769892001380
11/11/2015,0.13110782847228900
12/11/2015,0.13366097032905300
13/11/2015,0.12628622071258200
14/11/2015,0.12420960073613400
15/11/2015,0.12333513485294100
16/11/2015,0.12329146867594600
17/11/2015,0.12350524018090600
18/11/2015,0.1234352146533250
19/11/2015,0.1211924743333670
20/11/2015,0.120764974686285
21/11/2015,0.11228557019895100
22/11/2015,0.11225956066736300
23/11/2015,0.11284836734552400
24/11/2015,0.11137437526989400
25/11/2015,0.11012002090891800
26/11/2015,0.10579644309186400
27/11/2015,0.10063395902151100
28/11/2015,0.09508016668434990
29/11/2015,0.09495829080216860
30/11/2015,0.08515794760031280
01/12/2015,0.08274465861328690
02/12/2015,0.08318356422860620
03/12/2015,0.08236511020918550
04/12/2015,0.06574185892753610
05/12/2015,0.06381553160062240
06/12/2015,0.062121651184588900
07/12/2015,0.06194073141730570
08/12/2015,0.05922104090172100
09/12/2015,0.05933522539594110
10/12/2015,0.057366634809749500
11/12/2015,0.04720513614750980
12/12/2015,0.03901199600636700
13/12/2015,0.039690660541874800
14/12/2015,0.04157316592604340
15/12/2015,0.04121629182338240
16/12/2015,0.04905258350269360
17/12/2015,0.048561904226587800
18/12/2015,0.04914832040898510
19/12/2015,0.04804037335257190
20/12/2015,0.04970300443830570
21/12/2015,0.050053763809240200
22/12/2015,0.05032709998210150
23/12/2015,0.04947105048077420
24/12/2015,0.04944134609120480
25/12/2015,0.0487624706890117
26/12/2015,0.048783131506214600
27/12/2015,0.04869319109301410
28/12/2015,0.0486322041902078
29/12/2015,0.04821181600063920
30/12/2015,0.04877763627814600
31/12/2015,0.049675744870507
01/01/2016,0.04902384701465440
02/01/2016,0.04926701881042350
03/01/2016,0.0492501950833739
04/01/2016,0.048947524173443900
05/01/2016,0.04784820911595970
06/01/2016,0.04698797892784800
07/01/2016,0.047087921397534000
08/01/2016,0.04767177860503840
09/01/2016,0.04721760182081350
10/01/2016,0.04613571747935530
11/01/2016,0.046311869903890200
12/01/2016,0.04833281540495100
13/01/2016,0.047322229788299600
14/01/2016,0.0474560832348034
15/01/2016,0.04187422613600930
16/01/2016,0.04212472857127320
17/01/2016,0.04282648061706550
18/01/2016,0.04631618089508110
19/01/2016,0.04834043750719820
20/01/2016,0.04802862619817570
21/01/2016,0.0471512437157706
22/01/2016,0.04685532818361240
23/01/2016,0.06676562598465510
24/01/2016,0.06653132116347320
25/01/2016,0.07187992888637060
26/01/2016,0.07405240359428100
27/01/2016,0.07321004953818870
28/01/2016,0.07328361533025480
29/01/2016,0.07407380965722130
30/01/2016,0.07456340948869430
31/01/2016,0.07673815614588190
01/02/2016,0.07761518732171990
02/02/2016,0.07935850385299170
03/02/2016,0.07902149454231920
04/02/2016,0.07879565863762420
05/02/2016,0.07882076860302780
06/02/2016,0.07873752764045390
07/02/2016,0.08060619915503700
08/02/2016,0.08067618404210170
09/02/2016,0.0858661513085777
10/02/2016,0.08677564423971100
11/02/2016,0.09749160224852700
12/02/2016,0.09883719812850250
13/02/2016,0.10038696183569900
14/02/2016,0.10051276288109300
15/02/2016,0.09879821483379270
16/02/2016,0.10769744118954300
17/02/2016,0.11021715395910700
18/02/2016,0.10970490472007500
19/02/2016,0.10952743844804700
20/02/2016,0.11076608379707400
21/02/2016,0.11079664660456800
22/02/2016,0.10503360807767900
23/02/2016,0.10517009797951500
24/02/2016,0.10204990496582300
25/02/2016,0.10113377405701300
26/02/2016,0.10173697225828700
27/02/2016,0.10188842319827700
