Date,Time,Open,High,Low,Close,Volume,Change,Volatility,CBR,Weekday
09/03/2016,16:00,0.02594,0.02594,0.02594,0.02594,0.1,0.000000000,0.000000000,0.000000000,Wednesday
09/03/2016,18:00,0.02577,0.02577,0.02577,0.02577,0.01,0.000000000,0.000000000,0.000000000,Wednesday
09/03/2016,19:00,0.0254,0.0255,0.0252,0.0254,3.26,0.000000000,0.011811024,0.000000000,Wednesday
09/03/2016,20:00,0.0257,0.0257,0.0257,0.0257,0.01,0.000000000,0.000000000,0.000000000,Wednesday
09/03/2016,22:00,0.0279,0.0297,0.0263,0.0279,32.38,0.000000000,0.121863799,0.000000000,Wednesday
10/03/2016,16:00,0.03,0.03,0.03,0.03,10.0,0.000000000,0.000000000,0.000000000,Thursday
10/03/2016,17:00,0.02761,0.031,0.02761,0.031,21.08,12.278160087,0.122781601,1.000000000,Thursday
11/03/2016,17:00,0.02995,0.02995,0.02995,0.02995,0.03,0.000000000,0.000000000,0.000000000,Friday
12/03/2016,02:00,0.0299,0.0299,0.0299,0.0299,0.99,0.000000000,0.000000000,0.000000000,Saturday
12/03/2016,03:00,0.03,0.0312,0.0296,0.031,27.68,3.333333333,0.053333333,0.625000000,Saturday
12/03/2016,04:00,0.0327,0.0327,0.0311,0.0311,9.79,-4.892966361,0.048929664,1.000000000,Saturday
12/03/2016,05:00,0.0309,0.0329,0.0309,0.0315,5.52,1.941747573,0.064724919,0.300000000,Saturday
12/03/2016,06:00,0.0317,0.0332,0.0315,0.0315,5.0,-0.630914826,0.053627760,0.117647059,Saturday
12/03/2016,07:00,0.0319,0.0321,0.0306,0.0314,10.34,-1.567398119,0.047021944,0.333333333,Saturday
12/03/2016,08:00,0.0314,0.0319,0.0314,0.0319,5.81,1.592356688,0.015923567,1.000000000,Saturday
12/03/2016,09:00,0.031,0.031,0.031,0.031,5.18,0.000000000,0.000000000,0.000000000,Saturday
12/03/2016,10:00,0.031,0.031,0.031,0.031,12.39,0.000000000,0.000000000,0.000000000,Saturday
12/03/2016,12:00,0.032284,0.032284,0.032284,0.032284,1.04,0.000000000,0.000000000,0.000000000,Saturday
12/03/2016,14:00,0.031972,0.031972,0.031972,0.031972,1.12,0.000000000,0.000000000,0.000000000,Saturday
12/03/2016,23:00,0.032494,0.032494,0.032494,0.032494,0.69,0.000000000,0.000000000,0.000000000,Saturday
13/03/2016,00:00,0.033637,0.034072,0.033637,0.034072,2.0,1.293218777,0.012932188,1.000000000,Sunday
13/03/2016,01:00,0.034017,0.034382,0.033857,0.034076,6.53,0.173442690,0.015433460,0.112380952,Sunday
13/03/2016,02:00,0.03454,0.034663,0.03454,0.034658,2.87,0.341632889,0.003561089,0.959349593,Sunday
13/03/2016,04:00,0.03215,0.034613,0.03215,0.034613,3.34,7.660964230,0.076609642,1.000000000,Sunday
13/03/2016,05:00,0.034341,0.034387,0.03428,0.03428,4.61,-0.177630238,0.003115809,0.570093458,Sunday
13/03/2016,07:00,0.033855,0.033855,0.033826,0.033826,1.53,-0.085659430,0.000856594,1.000000000,Sunday
13/03/2016,09:00,0.034717,0.034717,0.034717,0.034717,0.89,0.000000000,0.000000000,0.000000000,Sunday
13/03/2016,15:00,0.033627,0.033636,0.033627,0.033636,0.02,0.026764207,0.000267642,1.000000000,Sunday
13/03/2016,20:00,0.036495,0.0368,0.0362,0.0368,49.68,0.835730922,0.016440608,0.508333333,Sunday
13/03/2016,21:00,0.0366,0.0366,0.035878,0.035878,13.3,-1.972677596,0.019726776,1.000000000,Sunday
13/03/2016,23:00,0.036437,0.036437,0.0352,0.0352,23.99,-3.394900788,0.033949008,1.000000000,Sunday
14/03/2016,00:00,0.035252,0.035252,0.028241,0.029927,56.33,-15.105525928,0.198882333,0.759520753,Monday
14/03/2016,01:00,0.030449,0.031607,0.029766,0.031099,20.2,2.134717068,0.060461756,0.353068984,Monday
14/03/2016,02:00,0.031454,0.031937,0.031005,0.031937,9.66,1.535575761,0.029630572,0.518240343,Monday
14/03/2016,03:00,0.031584,0.031584,0.031413,0.031413,3.05,-0.541413374,0.005414134,1.000000000,Monday
14/03/2016,04:00,0.031413,0.032227,0.031381,0.032227,6.16,2.591283863,0.026931525,0.962174941,Monday
14/03/2016,07:00,0.032479,0.032479,0.031926,0.031926,4.63,-1.702638628,0.017026386,1.000000000,Monday
14/03/2016,09:00,0.032105,0.03211,0.031943,0.031943,3.47,-0.504594300,0.005201682,0.970059880,Monday
14/03/2016,10:00,0.031447,0.031797,0.031447,0.031797,4.24,1.112983750,0.011129838,1.000000000,Monday
14/03/2016,11:00,0.032288,0.03235,0.031495,0.03235,42.87,0.192021804,0.026480426,0.072514620,Monday
14/03/2016,12:00,0.03258,0.05058,0.03255,0.034399,19039.4,5.583179865,0.553406998,0.100887410,Monday
14/03/2016,13:00,0.034298,0.0344,0.03227,0.03375,4448.31,-1.597760802,0.062102747,0.257276995,Monday
14/03/2016,14:00,0.03393,0.034339,0.032522,0.03272,5731.85,-3.566165635,0.053551429,0.665932856,Monday
14/03/2016,15:00,0.03304,0.034146,0.0327,0.033155,2861.7,0.348062954,0.043765133,0.079529737,Monday
14/03/2016,16:00,0.033,0.03336,0.032912,0.03301,534.59,0.030303030,0.013575758,0.022321429,Monday
14/03/2016,17:00,0.03336,0.034,0.03202,0.03366,5024.38,0.899280576,0.059352518,0.151515152,Monday
14/03/2016,18:00,0.03366,0.03566,0.03366,0.035638,4550.02,5.876411171,0.059417706,0.989000000,Monday
14/03/2016,19:00,0.035638,0.03699,0.032,0.032749,33416.97,-8.106515517,0.140019081,0.578957916,Monday
14/03/2016,20:00,0.032749,0.034,0.032362,0.03321,8871.76,1.407676570,0.050016794,0.281440781,Monday
14/03/2016,21:00,0.03321,0.03321,0.0317,0.0322,5887.86,-3.041252635,0.045468232,0.668874172,Monday
14/03/2016,22:00,0.0322,0.0324,0.03,0.031103,20600.59,-3.406832298,0.074534161,0.457083333,Monday
14/03/2016,23:00,0.031103,0.03126,0.02795,0.029996,9072.4,-3.559142205,0.106420603,0.334441088,Monday
15/03/2016,00:00,0.029996,0.031358,0.02969,0.029996,5544.07,0.000000000,0.055607414,0.000000000,Tuesday
15/03/2016,01:00,0.03,0.03073,0.029997,0.030413,1176.05,1.376666667,0.024433333,0.563437926,Tuesday
15/03/2016,02:00,0.030698,0.0309,0.030005,0.03016,1787.74,-1.752557170,0.029154994,0.601117318,Tuesday
15/03/2016,03:00,0.030337,0.03034,0.028512,0.028514,3314.78,-6.009163727,0.060256453,0.997264770,Tuesday
15/03/2016,04:00,0.028514,0.0304,0.028514,0.03024,3044.24,6.053166865,0.066142947,0.915164369,Tuesday
15/03/2016,05:00,0.0304,0.0304,0.029501,0.029916,4511.5,-1.592105263,0.029572368,0.538375973,Tuesday
15/03/2016,06:00,0.02997,0.03074,0.029916,0.030218,582.97,0.827494161,0.027494161,0.300970874,Tuesday
15/03/2016,07:00,0.030157,0.030799,0.03,0.030523,3196.14,1.213648572,0.026494678,0.458072591,Tuesday
